,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,publishedAt,updatedAt
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,Hahahaha! So true!! ,Hahahaha! So true!! ,Ugiy1vf3LJpG5XgCoAEC,True,none,0,2015-05-31T06:10:53.000Z,2015-05-31T06:10:53.000Z
value,Jeffrey Plashka,https://yt3.ggpht.com/a/AGF-l79mhseUoqMuCH_gK8MQygvuLDPuGJsomQSH-w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCM4bGqKOE2IwVdkGJrmVQfA,UCM4bGqKOE2IwVdkGJrmVQfA,q4PWBf04V54,"It&#39;s a daily internal struggle I face... Clean shaven,  or rugged? I feel I have the rest of my life to look older,  but I&#39;ll probably rock the beard better younger... Hahaha,  freaking indecisiveness is a bitch! ","It's a daily internal struggle I face... Clean shaven,  or rugged? I feel I have the rest of my life to look older,  but I'll probably rock the beard better younger... Hahaha,  freaking indecisiveness is a bitch! ",Ugiy1vf3LJpG5XgCoAEC,True,none,1,2015-05-30T17:24:39.000Z,2015-05-30T17:24:39.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,@Jeffrey Plashka Thanks man! It&#39;s growing and being trimmed all at the same time. It&#39;s a never ending battle haha,@Jeffrey Plashka Thanks man! It's growing and being trimmed all at the same time. It's a never ending battle haha,Ugiy1vf3LJpG5XgCoAEC,True,none,0,2015-05-30T17:20:41.000Z,2015-05-30T17:20:41.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,"@edgar gonzalez Thanks, and yes, I will keep them coming!","@edgar gonzalez Thanks, and yes, I will keep them coming!",Ugg33pcWMgcpwngCoAEC,True,none,1,2015-04-28T04:19:16.000Z,2015-04-28T04:19:16.000Z
value,trevor stevenson,https://yt3.ggpht.com/a/AGF-l78GmYG0fOTlcig_ZdhHzaj3KdwY6qtkNWqoPg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCixJiAcAwFtBN7bf8fivKPg,UCixJiAcAwFtBN7bf8fivKPg,q4PWBf04V54,Mark Humphreys dude is it just me or did you remove a bulk of hair with the braun shaver?,Mark Humphreys dude is it just me or did you remove a bulk of hair with the braun shaver?,Ughd_I0cUC6NSngCoAEC,True,none,0,2017-05-26T15:41:00.000Z,2017-05-26T15:41:00.000Z
value,Peter Louis,https://yt3.ggpht.com/a/AGF-l78QmDBqgxtQiCGbsDGkKYS0mSKpfTdDKXpFKg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC2Qw9J1_K1dq43EGjc-CqlQ,UC2Qw9J1_K1dq43EGjc-CqlQ,q4PWBf04V54,"Awesome i&#39;m excited to see you review one! if you need any help with safety razors check out youtuber nickshaves, and for straight razors check out geofatboy. but i advise you start with safety razors. have fun!","Awesome i'm excited to see you review one! if you need any help with safety razors check out youtuber nickshaves, and for straight razors check out geofatboy. but i advise you start with safety razors. have fun!",Ughd_I0cUC6NSngCoAEC,True,none,0,2016-08-17T05:37:52.000Z,2016-08-17T05:37:52.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,Nice man! That might get me off to a good start!,Nice man! That might get me off to a good start!,Ughd_I0cUC6NSngCoAEC,True,none,0,2016-08-17T01:53:11.000Z,2016-08-17T01:53:11.000Z
value,Peter Louis,https://yt3.ggpht.com/a/AGF-l78QmDBqgxtQiCGbsDGkKYS0mSKpfTdDKXpFKg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC2Qw9J1_K1dq43EGjc-CqlQ,UC2Qw9J1_K1dq43EGjc-CqlQ,q4PWBf04V54,"+Mark Humphreys hey mark there are various types differ on how the DE blade is mounted, coarseness of the shave, handle length, weight of the razor.. And opinions tend to vary. I myself have a few favorites but ild say one safety razor everyone seems to love is the Merkur 34C, you cant go wrong with that. As for blades, astra would be a good one on the very sharp scale and derby would be good on the less sharp scale. I currently use straight razors but still use safety razors from time to time!","+Mark Humphreys hey mark there are various types differ on how the DE blade is mounted, coarseness of the shave, handle length, weight of the razor.. And opinions tend to vary. I myself have a few favorites but ild say one safety razor everyone seems to love is the Merkur 34C, you cant go wrong with that. As for blades, astra would be a good one on the very sharp scale and derby would be good on the less sharp scale. I currently use straight razors but still use safety razors from time to time!",Ughd_I0cUC6NSngCoAEC,True,none,0,2016-08-16T08:59:10.000Z,2016-08-16T08:59:10.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,I really want to try one! What would you recommend?,I really want to try one! What would you recommend?,Ughd_I0cUC6NSngCoAEC,True,none,0,2016-08-16T04:09:37.000Z,2016-08-16T04:09:37.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,@Erlan Delgado Thanks pal! I&#39;m super stoked about it. I&#39;m almost to 600 now! WOOHOO!,@Erlan Delgado Thanks pal! I'm super stoked about it. I'm almost to 600 now! WOOHOO!,UgjvPX7qr8UJXXgCoAEC,True,none,0,2015-04-28T04:19:43.000Z,2015-04-28T04:19:43.000Z
